,id,name,followers,genres,popularity,URI,image_url,embed_link
0,06HL4z0CvFAxyc27GXpf02,Taylor Swift,75379085,pop,100,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Taylor Swift"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/06HL4z0CvFAxyc27GXpf02?utm_source=oembed""></iframe>"
1,4q3ewBCX7sLwd24euuV69X,Bad Bunny,69665117,reggaeton,97,spotify:artist:4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab6761610000e5ebe63fa66d8a1d822bfe9e7edf,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Bad Bunny"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/4q3ewBCX7sLwd24euuV69X?utm_source=oembed""></iframe>"
2,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,65450589,canadian contemporary r&b,95,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab6761610000e5eb01b9b4ec2a05d0805428acfa,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: The Weeknd"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/1Xyo4u8uXC1ZmMpatF05PJ?utm_source=oembed""></iframe>"
3,3TVXtAsR1Inumwj472S9r4,Drake,75592260,canadian hip hop,95,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Drake"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3TVXtAsR1Inumwj472S9r4?utm_source=oembed""></iframe>"
4,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,3696751,corrido,94,spotify:artist:12GqGscKJx3aE4t07u7eVZ,https://i.scdn.co/image/ab6761610000e5eb6ea2260c54d4aa0f2ba9762e,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Peso Pluma"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/12GqGscKJx3aE4t07u7eVZ?utm_source=oembed""></iframe>"
5,2LRoIwlKmHjgvigdNGBHNo,Feid,5432754,colombian pop,92,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,https://i.scdn.co/image/ab6761610000e5eb7310314e15b4f6aee1135d46,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Feid"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/2LRoIwlKmHjgvigdNGBHNo?utm_source=oembed""></iframe>"
6,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,5983297,contemporary country,91,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,https://i.scdn.co/image/ab6761610000e5eb0266f72f16d98a972ed1ee4d,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Morgan Wallen"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/4oUHIQIBe0LHzYfvXNW4QM?utm_source=oembed""></iframe>"
7,7dGJo4pcD2V6oG8kP0tJRR,Eminem,71236127,detroit hip hop,91,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Eminem"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/7dGJo4pcD2V6oG8kP0tJRR?utm_source=oembed""></iframe>"
8,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,112328891,pop,91,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb9e690225ad4445530612ccc9,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Ed Sheeran"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/6eUKZXaKkcviH0Ku9w2n3V?utm_source=oembed""></iframe>"
9,3Nrfpe0tUJi4K4DXYWgMUX,BTS,65326046,k-pop,90,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://i.scdn.co/image/ab6761610000e5eb5704a64f34fe29ff73ab56bb,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: BTS"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3Nrfpe0tUJi4K4DXYWgMUX?utm_source=oembed""></iframe>"
10,790FomKkXshlbRYZFtlgla,KAROL G,35609086,reggaeton,90,spotify:artist:790FomKkXshlbRYZFtlgla,https://i.scdn.co/image/ab6761610000e5eb6a0594d5bff11a7e0c7ceb1a,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: KAROL G"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/790FomKkXshlbRYZFtlgla?utm_source=oembed""></iframe>"
11,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,24062274,art pop,90,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Lana Del Rey"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/00FQb4jTyendYWaN8pK0wa?utm_source=oembed""></iframe>"
